"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"5G Service Value Chain and Network Slicing Framework Using Ecosystem Modeling, Agile Delivery, and User-Story Automation","M. U. Alhuseini; M. M. Olama","New Service Introduction, Nokia Solutions and Networks GmbH & Co. KG, Munich, Germany; Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, TN, USA",IEEE Access,"21 Aug 2019","2019","7","","110856","110873","The 5G technology allows telecommunication operators to provide services beyond data broadband for consumers, employing tailored use-cases for enterprise and vertical markets. As a result, there is an increasing need for a collaborative service development through a de-centralized value-chain, along with new business models and shorter time-to-market. In this paper, a novel, use-case driven framework for a modular 5G service design and delivery is proposed. The framework implements agile and as-a-service principles to provide 5G use-case customers access not only to service usage, but also to design and operation. The framework integrates with the 3rd Generation Partnership Project (3GPP) specifications by mapping network-slicing procedures to the designed ecosystem lifecycle operations. The framework allows for the any-technology deployment, utilizing the available foundations for domain-specific automation. A structured collaboration between a 5G operator and a use-case user allows for the customization and improvement of the targeted use-case, where 5G network assets are updated with customer's vertical components through programmable user-stories. Laboratory testing of a 5G network-slicing for a private-telephony and merchandise-tracking service is performed to validate the effectiveness of the proposed approach for real-world applications.","2169-3536","","10.1109/ACCESS.2019.2933193","Nokia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787746","5G;network slicing;service modeling;ecosystem modeling;solution design;system integration;agile delivery;process planning;everything-as-a-service;value chain;telecom services","5G mobile communication;Business;Biological system modeling;Network slicing;Ecosystems;3GPP;Broadband communication","","8","","48","CCBY","5 Aug 2019","","","IEEE","IEEE Journals"
"The Road to Trustworthy 6G: A Survey on Trust Anchor Technologies","B. Veith; D. Krummacker; H. D. Schotten","Intelligent Networks Research Group, German Research Center for Artificial Intelligence (DFKI GmbH), Kaiserslautern, Germany; Intelligent Networks Research Group, German Research Center for Artificial Intelligence (DFKI GmbH), Kaiserslautern, Germany; Intelligent Networks Research Group, German Research Center for Artificial Intelligence (DFKI GmbH), Kaiserslautern, Germany",IEEE Open Journal of the Communications Society,"27 Feb 2023","2023","4","","581","595","While 5G networks are driving a growing number of use cases in the fields of iot and industrial applications, the vision of the next generation of mobile communications systems already includes concepts massively transforming the way people will interact with the digital world through the network, as humans are shifting into the center of diverse network driven applications. Envisaged use cases and possibilities to provide services and resources in a distributed manner render an architectural solution for trust establishment a critical component of 6G networks. This survey provides an overview of terms and visions related to the topic of trust in general and in mobile communications systems. Requirements for an end-to-end trust building framework are derived, in order to give a starting point for the design process of a trust anchor service as a component of 6G networks.","2644-125X","","10.1109/OJCOMS.2023.3244274","German Federal Ministry for Education and Research (BMBF) through the Project »Open6GHub«(grant numbers:16KISK003K); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10042484","6G;AI;DLT;trust anchors;trust as a service","6G mobile communication;Security;Peer-to-peer computing;Buildings;Quality of service;Distributed ledger;Biological system modeling","","7","","84","CCBYNCND","13 Feb 2023","","","IEEE","IEEE Journals"
"AI-Driven Data Analytics and Intent-Based Networking for Orchestration and Control of B5G Consumer Electronics Services","K. Abbas; A. Nauman; M. Bilal; J. -H. Yoo; J. W. -K. Hong; W. -C. Song","Department of Computer Science, Hanyang University Seoul, Seoul, South Korea; Department of Information and Communication Engineering, Yeungnam University, Gyeongsan, South Korea; School of Computing and Communications, Lancaster University, LA1 4YW Lancaster, U.K; Department of Computer Science and Engineering, Pohang University of Science and Technology, Pohang, South Korea; Department of Computer Science and Engineering, Pohang University of Science and Technology, Pohang, South Korea; Department of Computer Engineering, Jeju National University, Jeju, South Korea",IEEE Transactions on Consumer Electronics,"29 Apr 2024","2024","70","1","2155","2169","Network slicing is a critical feature of the beyond fifth-generation (B5G) network that supports a wide range of innovative services from 5.0 industries, next-generation consumer electronics, smart healthcare, etc. Network slicing guarantees the provisioning of quality of service (QoS) aware dedicated resources to each service. However, the orchestration and management of network slicing is very challenging because of the complex configuration process for underlying network resources. Furthermore, the third generation partnership project (3GPP) presented artificial intelligence (AI) based network data analytics function (NWDAF) in 5G for proactive management and intelligence. Therefore, we have developed an intent-based networking (IBN) system for automating network slices and an AI-driven NWDAF for proactive and intelligent resource assurance. The network data analytics function uses a hybrid stacking ensemble learning (STEL) algorithm to predict network resource utilization and a novel automated machine learning (AutoML) and voting ensemble learning-based mechanism to detect and mitigate network anomalies. To validate the performance of the implemented work, real-time datasets were employed, and a comparative analysis was conducted. The experimental result shows that our STEL model enhances the accuracy by 20% and reduces the error rate by 45%. The AutoML and ensemble learning-based optimized model achieved 99.22% accuracy for anomaly detection.","1558-4127","","10.1109/TCE.2023.3324010","National Research Foundation (NRF) South Korea under Project BK21 FOUR; Institute of Information and Communications Technology Planning and Evaluation (IITP); Korean Government (MSIT, Development of Virtual Network Management Technology Based on Artificial Intelligence)(grant numbers:2018-0-00749); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10285423","Beyond 5G;next-generation consumer electronics services;5G slicing;intent-based networking;AI;automated machine learning;network data analytics function","Quality of service;5G mobile communication;Network slicing;Artificial intelligence;Consumer electronics;Automation;Cloud computing","","5","","54","IEEE","13 Oct 2023","","","IEEE","IEEE Journals"
"IPDAC: An Integrated IP Address Management Framework for Telecommunication Management Networks","T. -H. Wang; Y. -C. Chen; Y. -T. Huang; C. -M. Hsu; K. -S. Hsu; C. -H. Hu","Network Management Laboratory, Chunghwa Telecom Laboratories, Taoyuan, Taiwan; Department of Information Management, National Chi Nan University, Puli, Nantou 545, Taiwan; Network Management Laboratory, Chunghwa Telecom Laboratories, Taoyuan, Taiwan; Network Management Laboratory, Chunghwa Telecom Laboratories, Taoyuan, Taiwan; Network Management Laboratory, Chunghwa Telecom Laboratories, Taoyuan, Taiwan; Network Management Laboratory, Chunghwa Telecom Laboratories, Taoyuan, Taiwan",2019 20th Asia-Pacific Network Operations and Management Symposium (APNOMS),"7 Nov 2019","2019","","","1","4","The delivery of digital services, offered by telecom operators, relies on secure and reliable underlying networks. The networks should be protected via the enforcement of a strict access control scheme for use of IP resources. It is recommended that all IP addresses for use in a telecommunication management network be statically assigned and must be registered before use. Therefore, there is a need for an effective IP address management (IPAM) scheme which can be widely applicable across the telecommunication management network. In a telecom operator, the operations and management of networks are usually accomplished through a set of OSSs with different functions or management scopes. In this paper, we will propose an IPAM framework which can be integrated with these OSSs. The proposed IPAM framework is constructed by the processes of IP address discovery and network access control schemes. This paper will discuss how to seamlessly integrate IP address discovery and network access control with the current OSSs of Chunghwa Telecom.","2576-8565","978-4-88552-320-5","10.23919/APNOMS.2019.8893138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8893138","IPAM;IP Address Discovery;Network Access Control;OSS Integration","IP networks;Access control;Logic gates;Performance evaluation","","3","","9","","7 Nov 2019","","","IEEE","IEEE Conferences"
"Intent-Based Network Management in 6G Core Networks","P. Lingga; J. J. Kim; J. P. Jeong","Dept. of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, Republic of Korea; Dept. of Computer Science and Engineering, Sungkyunkwan University, Suwon, Republic of Korea; Dept. of Computer Science and Engineering, Sungkyunkwan University, Suwon, Republic of Korea",2022 13th International Conference on Information and Communication Technology Convergence (ICTC),"25 Nov 2022","2022","","","760","762","Supporting network intelligence is one of the main goals of 6G core networks. Network intelligence can provide a self-driving network that optimizes and adjusts itself with the least amount of human interaction. Intent-Based Networking (IBN) is an approach that can be combined with 6G core networks to provide automation. The IBN concept provides a closed-loop control architecture that is able to adapt to the status of the network by monitoring data from network functions. Network Data Analytics Function (NWDAF) is proposed by the 3rd Generation Partnership Project (3GPP) to collect monitoring data from multiple network functions. This paper proposes an architecture that combines the NWDAF with the IBN concept to merge it with Artificial Intelligence (AI) and Machine Learning (ML) to analyze the monitoring data. The proposed scheme creates a system that will be able to provide automatic verification and optimization for the 6G core networks.","2162-1241","978-1-6654-9939-2","10.1109/ICTC55196.2022.9952437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9952437","6G;IBN;network intelligence;NWDAF","6G mobile communication;Data analysis;Automation;Machine learning;Data collection;Information and communication technology;3GPP","","2","","5","IEEE","25 Nov 2022","","","IEEE","IEEE Conferences"
"Reorchestration: a Reactive Orchestration Architecture","A. Vidal; P. H. Gomes; M. Santos",Ericsson Research; Ericsson Research; Ericsson Research,2019 IEEE Conference on Network Softwarization (NetSoft),"22 Aug 2019","2019","","","498","505","Orchestration is crucial to address the growing complexity of IT, cloud and telecom services. Orchestrators enable service deployment, but continuous operation is given second-class status. Most orchestrators use static workflows, which may fail, misbehave or be insufficient, leaving services in an undesirable state. We propose the Reorchestration architecture for orchestration without workflows, which marries functional-inspired state management with an infrastructure-as-code approach. It enables changes to be applied to existing services, while providing a high-level framework for expressing how these changes should happen. We also share our first prototype, in the hope that it can foster discussions on new software architectures for orchestrators and closed-loop automation.","","978-1-5386-9376-6","10.1109/NETSOFT.2019.8806677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806677","Orchestration;day-2 operations;workflows;closed-loop automation","Tools;Cloud computing;Automation;Complexity theory;Computer architecture;Maintenance engineering;Task analysis","","1","","11","IEEE","22 Aug 2019","","","IEEE","IEEE Conferences"
"Open Disaggregated Optical Network Control with Network Management as Code","J. Errea; H. T. Quang; D. Verchere; H. T. Thieu; A. Mazzini; L. Abnaou; J. Pesic; M. Curtol; A. El Imadi; A. Ksentini; D. Zeghlache","Nokia Bell Labs, Nozay, France; Nokia Bell Labs, Nozay, France; Nokia Bell Labs, Nozay, France; Nokia Bell Labs, Murray Hill, US; Nokia, Vimercate, Italy; Nokia, Nozay, France; Nokia, Nozay, France; Nokia, Nozay, France; Nokia, Nozay, France; EURECOM Research Institute, Biot, France; Telecom SudParis, Institut Polytechnique de Paris, France",2023 Optical Fiber Communications Conference and Exhibition (OFC),"19 May 2023","2023","","","1","3","Network Management as Code is presented to manage the infrastructure and deployment of control functions in a declarative manner by adopting GitOps in open disaggregated optical networks. We introduce an Automation Engine that analyzes topology changes to trigger the Continuous Delivery procedure of SDN applications on a micro-service architecture.","","979-8-3503-1229-4","10.1364/OFC.2023.M3Z.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10116583","","Codes;Automation;Network topology;Optical fiber networks;Topology;Engines","","1","","8","","19 May 2023","","","IEEE","IEEE Conferences"
"HolistIX: a zero-touch approach for IXPs","C. Visser; S. Yamamoto; T. Takashi; Y. Sekiya; M. Bruyere","IIJ Innovation Institute, Japan; The University of Tokyo, Japan; National institute of information and communications, Japan; The University of Tokyo, Japan; IIJ Innovation Institute, Japan",2021 17th International Conference on Network and Service Management (CNSM),"2 Dec 2021","2021","","","1","7","Zero-Touch is a broad concept, but it is understood as a means to limit human exposure to the data-plane states, and therefore reduces the potential for error. By combining the various layers from the administration level down to the switching fabric, introducing a new top to bottom architecture. This paper presents our operational research project HolistIX, a full-stack management solution enabling zero-touch networking within IXP infrastructure networks. HolistIX achieves this by first bringing diagramming to the forefront of topology planning and automated network configuration generation. This is then followed by verifying the proposed network configuration through emulation before deployment to the production network. By utilizing Umbrella SDN switching fabric, HolistIX enables full-stack management, with minimal human interaction required. We also briefly present the results of deploying our HolistIX approach in two IXPs, one in France (TouIX) and the other in Japan (DIX-IE).","2165-963X","978-3-903176-36-2","10.23919/CNSM52442.2021.9615540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9615540","","Network topology;Emulation;Switches;Production;Fabrics;Robustness;Topology","","1","","26","","2 Dec 2021","","","IEEE","IEEE Conferences"
"Disaggregated Near-RT RIC Control Plane with Unified 5G DB for NS, MEC and NWDAF Integration","H. Donertasli; M. Medithe",NA; NA,2022 7th International Conference on Computer Science and Engineering (UBMK),"28 Oct 2022","2022","","","1","6","The use-case of RAN Controller with MEC and Network Slicing integration by using unified 5G data collection and analytics is one of the key enablers for 5G networks to function based on the low latency requirements. Connecting these components are challenging for the operators due to the lack of single source of authority and unified data. O-RAN architecture extends the SDN controller concept of decoupling the control-plane (CP) from the user-plane (UP) by enhancing the traditional RAN functions with AI via RAN Intelligent Controller (RIC). However, disaggregating only CP and DP is not enough for the integration of the key enablers, indeed there is a need for disaggregation of CP of Near-RT RIC itself as well so that MEC, NS and NWDAF can connect in form of xApps which are the first anchor point of the authority and data handshake for time sensitive applications to be landed. In this paper, we proposed an architectural perspective focusing on the Near-RT RIC platform with the disaggregated CP enhancements and end-to-end combined xApp-rApp solution for smooth NS, MEC and NWDAF integration.","2521-1641","978-1-6654-7010-0","10.1109/UBMK55850.2022.9919594","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919594","5G;MEC;Network Slicing;NS;NWDAF;xApp;rApp;Near-RT RIC;URLLC;AI;ML;SDN;DB","Computer science;Technological innovation;5G mobile communication;Databases;Network slicing;Focusing;Computer architecture","","1","","12","IEEE","28 Oct 2022","","","IEEE","IEEE Conferences"
"Distributed Energy Systems","M. Hentea",NA,Building an Effective Security Program for Distributed Energy Resources and Systems,"","2021","","","353","389","Classic electricity grids are based on large central power stations connected to high‐voltage transmission systems. Distributed energy systems include a diverse array of distributed generation, energy storage and energy monitoring, and control solutions. Energy storage technologies are analyzed under the criteria such as operation and advantages, applications, cost, disadvantages, and future potential applications. Distributed energy resource (DER) systems typically use renewable energy sources, communication technologies, and interfaces to connect to utilities and consumers. DER integration and management is applicable to both distribution and transmission systems. A global survey was conducted in 2012 on security governance, specifically how boards of directors and senior management are governing the security of their organizations’ information, applications, and networks. The chapter provides an overview of the recent cyber incidents targeting electricity sector and energy sector for the period of 2012‐2016. The smart grid brings new challenges and privacy issues, which require regulatory frameworks and adequate protection.","","9781119070429","10.1002/9781119070740.ch10","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9415330.pdf&bkn=9415286&pdfType=chapter","","Energy storage;Distributed power generation;Business;Renewable energy sources;Security;Generators;Computational modeling","","","","","","23 Apr 2021","","","Wiley","Wiley Telecom eBook Chapters"
"Use-Case Analysis regarding Trust Relations in Dynamic Networks","B. Veith; A. Kiggundu; D. Krummacker; C. Fischer; H. D. Schotten",NA; NA; NA; NA; NA,Mobile Communication - Technologies and Applications; 27th ITG-Symposium,"11 Oct 2023","2023","","","152","157","Communication infrastructures, i.e. machine-tomachine communication networks dedicated to provide certain means for participants to exchange information, become constantly more flexible and operate more dynamically. The evolution of underlying technologies introduces new features by which gradually new mechanisms and freedom in operation are enabled. Services can be dynamically redeployed during runtime, states be migrated between devices. Software-defined message exchange frameworks make data omni-available and establish interaction across all layers of abstraction. We analyze in this work various descriptive use cases for future mobile communications regarding the specific trust relations between different actors and point out the necessity for explicit trust management in the network.","","978-3-8007-6094-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10278522","","","","","","","","11 Oct 2023","","","VDE","VDE Conferences"
"The Kubernetes Bible: The definitive guide to deploying and managing Kubernetes across major cloud platforms","N. Kebbani; P. Tylenda; R. McKendrick",NA; NA; NA,The Kubernetes Bible: The definitive guide to deploying and managing Kubernetes across major cloud platforms,"","2022","","","","","Get up and running with Kubernetes 1.19 and simplify the way you build, deploy, and maintain scalable distributed systemsKey FeaturesDesign and deploy large clusters on various cloud platformsExplore containerized application deployment, debugging, and recovery with the latest Kubernetes version 1.19Become well-versed with advanced Kubernetes topics such as traffic routing or Pod autoscaling and schedulingBook DescriptionWith its broad adoption across various industries, Kubernetes is helping engineers with the orchestration and automation of container deployments on a large scale, making it the leading container orchestration system and the most popular choice for running containerized applications. This Kubernetes book starts with an introduction to Kubernetes and containerization, covering the setup of your local development environment and the roles of the most important Kubernetes components. Along with covering the core concepts necessary to make the most of your infrastructure, this book will also help you get acquainted with the fundamentals of Kubernetes. As you advance, you'll learn how to manage Kubernetes clusters on cloud platforms, such as Amazon Web Services (AWS), Microsoft Azure, and Google Cloud Platform (GCP), and develop and deploy real-world applications in Kubernetes using practical examples. Additionally, you'll get to grips with managing microservices along with best practices. By the end of this book, you'll be equipped with battle-tested knowledge of advanced Kubernetes topics, such as scheduling of Pods and managing incoming traffic to the cluster, and be ready to work with Kubernetes on cloud platforms.What you will learnManage containerized applications with KubernetesUnderstand Kubernetes architecture and the responsibilities of each componentSet up Kubernetes on Amazon Elastic Kubernetes Service, Google Kubernetes Engine, and Microsoft Azure Kubernetes ServiceDeploy cloud applications such as Prometheus and Elasticsearch using Helm chartsDiscover advanced techniques for Pod scheduling and auto-scaling the clusterUnderstand possible approaches to traffic routing in KubernetesWho this book is forThis book is for software developers and DevOps engineers looking to understand how to work with Kubernetes for orchestrating containerized applications and services in the cloud. Prior experience with designing software running in operating system containers, as well as a general background in DevOps best practices, will be helpful. Basic knowledge of Kubernetes, Docker, and leading cloud service providers assist with grasping the concepts covered easily.","","9781838829452","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163170.pdf&bkn=10163169&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Blockchain Technology for Industry 4.0","R. K. Berwer; S. Indora; D. K. Atal; V. Yadav","Department of Computer Science and Engineering, Deenbandhu Chhotu Ram University of Science and Technology, Sonipat, Haryana, India; Department of Computer Science and Engineering, Deenbandhu Chhotu Ram University of Science and Technology, Sonipat, Haryana, India; Department of Biomedical Engineering, Deenbandhu Chhotu Ram University of Science and Technology, Sonipat, Haryana, India; Expresslending Pty Ltd, Melbourne, Victoria, Australia",Topics in Artificial Intelligence Applied to Industry 4.0,"","2024","","","107","125","The Internet of Things (IoT) and blockchain have become the primary technologies that are essential to the development of a smart society. Due to their numerous uses in our daily lives, these technologies are becoming increasingly popular. Industry 4.0 is the advancement of how present businesses operate to attain superior efficiency, end‐to‐end connectivity, lower expenses, and better quality. By utilizing technology from the IoTs, artificial intelligence (AI), or data analytics, it tries to achieve interconnectivity and automation. Better automation and connectivity are not without problems, though. Among them include building trust and dependability, increasing transparency, product traceability, creating a productive supply chain, safely storing and exchanging transactional data, and certification for quality compliance. Blockchain technology is used in several industrial applications because of its decentralization, immutability, authenticity, and transparency properties, and it also has various features related to accessibility, such as smart contract, proof of work, DApps, and so on. Blockchain is not limited to Bitcoin (cryptocurrency); it can be used in many industries like health care, supply management, financial organizations, and so on. The chapter covers the use of blockchain technology in several Industry 4.0 applications and how it might solve their problems. The basics of Industry 4.0 are covered first. Following that, an explanation of blockchain's operation and its potential role in Industry 4.0 is provided. The problems of Industry 4.0 are further discussed, along with potential solutions using blockchain technology. The difficulties associated with applying blockchain technology to the development of Industry 4.0 are also covered in this chapter.","","9781394216123","10.1002/9781394216147.ch6","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10496332.pdf&bkn=10496286&pdfType=chapter","","Blockchains;Fourth Industrial Revolution;Smart contracts;Industries;Distributed ledger;Peer-to-peer computing;Costs","","","","","","10 Apr 2024","","","Wiley","Wiley Telecom eBook Chapters"
"Overcoming Network and Security Management Platform Gaps in Federated Software Networks","M. Steinke; W. Hommel","Bundeswehr University Munich, Neubiberg, Germany; Bundeswehr University Munich, Neubiberg, Germany",2018 14th International Conference on Network and Service Management (CNSM),"23 Dec 2018","2018","","","295","299","Software networks are on the verge of replacing traditional communications network infrastructures on a large scale; they are composed of software-defined networks, virtualized network functions, and virtual compute resources. While software networks thrive on scalability, high dynamics, and flexibility, they also are inherently tied to conceptually new challenges for network management, i.e., the tasks carried out by network operators in order to provision, maintain, and optimize network-based IT services. While individual management tools are made available for each software network component by the vendors, integrated management architectures, which enable the common management of components across the heterogeneity of vendors and types as well as models, need to be redesigned to achieve the same level of maturity and usefulness compared to their counterparts in traditional networks. This paper focuses on management platforms for federated software networks - operated by several independent parties - systematically, based on their key characteristics. We identify gaps in management platform design and propose measures to close them.","2165-963X","978-3-9031-7614-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8584959","network management;security management;management architecture;SDN;NFV","Software;Monitoring;Tools;Organizations;Security management;Task analysis","","","","29","","23 Dec 2018","","","IEEE","IEEE Conferences"
"Achieving Digital Transformation Using Hybrid Cloud: Design standardized next-generation applications for any infrastructure","V. Grover; I. Verma; P. Rajagopalan",NA; NA; NA,Achieving Digital Transformation Using Hybrid Cloud: Design standardized next-generation applications for any infrastructure,"","2023","","","","","Accelerate your career growth by building dynamic applications that function across all environments and cloud types Purchase of the print or Kindle book includes a free PDF eBookKey FeaturesLearn hybrid cloud architecture from experienced cloud and telco architectsAdapt and deploy emerging technologies like AI and ML in a standardized and secure mannerMaster communication between Kubernetes clusters and managementBook DescriptionHybrid cloud technology can be leveraged by organizations aiming to build next-gen applications while safeguarding prior technological investments. This book will help you explore different hybrid cloud architectural patterns, whether designing new projects or migrating legacy applications to the cloud. You'll learn about the key building blocks of hybrid cloud enabling you to deploy, manage, and secure applications and data while porting the workloads between environments without rebuilding. Further, you’ll explore Kubernetes, GitOps, and Layer 3/7 services to reduce operational complexity. You'll also learn about nuances of security and compliance in hybrid cloud followed by the economics of hybrid cloud. You’ll gain a deep understanding of the concepts with use cases from telecom 5G and industrial manufacturing, giving you a glimpse into real industry problems resolved by hybrid cloud, and unlocking millions of dollars of opportunities for enterprises. By the end of this book, you'll be well-equipped to design and develop efficient hybrid cloud strategies, lead conversations with senior IT and business executives, and succeed in hybrid cloud implementation or transformation opportunities.What you will learnDesign and build a foundation for hybrid cloud platformLeverage Kubernetes, containers, and GitOps for hybrid cloudUse architectural pattern blueprints to deliver applications on hybrid cloudEnable communication between applications hosted on different cloudsRollout zero-touch provisioning and monitoring in a hybrid architectureEnhance stability and scale up or down without rebuilding appsUnderstand principles of hybrid cloud security for application stackDesign cost-optimized systems based on the economics of hybrid cloudWho this book is forThis book is for cloud architects, developers, and DevOps engineers, responsible for delivering modern applications and deploying resources anywhere. Professionals aspiring to implement distributed and cloud solutions will also benefit from reading this book. Basic understanding of VM, containers, CI/CD and familiarity with public cloud and edge is a must.","","9781837634156","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10251236.pdf&bkn=10251235&pdfType=book","","","","","","","","14 Sep 2023","","","Packt Publishing","Packt Publishing eBooks"
"Overview of Artificial Intelligence and Machine Learning","N. Zincir&#x2010;Heywood; M. Mellia; Y. Diao","Faculty of Computer Science, Dalhousie University, Halifax, Nova Scotia, Canada; Department of Electronics and Telecommunications, Politecnico di Torino, Torino, Italy; PebblePost, New York, NY, USA",Communication Networks and Service Management in the Era of Artificial Intelligence and Machine Learning,"","2021","","","19","32","Advances in artificial intelligence and machine learning (AI/ML) algorithms are not only the fastest growing areas but also provide endless possibilities in many different science and engineering disciplines including computer communication networks. These technologies are used by billions of people. Any person who has a smartphone can tangibly experience advances in communication networks, social media, natural language processing, and computer vision that were not possible just 10 years ago. Research is therefore needed to understand and improve the potential and suitability of AI/ML in general for communications and networking technologies, but also in particular for systems and networks operations and management.","","9781119675440","10.1002/9781119675525.ch2","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9536288.pdf&bkn=9536223&pdfType=chapter","","Unsupervised learning;Task analysis;Supervised learning;Reinforcement learning;Data models;Cost function;Training","","","","","","13 Sep 2021","","","IEEE","Wiley-IEEE Press eBook Chapters"
"A MECApp-aware Lifecycle Management Approach in 5G Edge-Cloud Deployments","P. Bellavista; A. Bujari; L. Foschini; A. Sabbioni; R. Venanzi","Department of Computer Science and Engineering, University of Bologna, Italy; Department of Computer Science and Engineering, University of Bologna, Italy; Department of Computer Science and Engineering, University of Bologna, Italy; Department of Computer Science and Engineering, University of Bologna, Italy; Department of Computer Science and Engineering, University of Bologna, Italy",2024 33rd International Conference on Computer Communications and Networks (ICCCN),"22 Aug 2024","2024","","","1","6","The recent trend pushing towards reliance on edge computing, virtualization and programmatic 5G network control has sparked the development of a myriad of open-source resource management and orchestration projects for improved control and added flexibility, making up for a rich and complex ecosystem of frameworks and tools with varying degree of support for standardized features. In this technological panorama, the ETSI Multi-Access Edge Computing (MEC) standard proposes a conceptual reference architecture, standardizing edge integration, interoperability and application management in an extended 5G edge-core architecture. In this context, we propose an application-aware orchestration solution for 5G edge-core distributed deployments, currently lacking support in state-of-the-art frameworks and tools. The proposal is built on an experimental and distributed deployment of the OpenAirInterface minimal MEC platform implementation and relies on the Kubernetes Operator pattern for the automatic MECApp lifecycle management. To validate our approach, we conduct a series of experiments, reporting key metrics of interest.","2637-9430","979-8-3503-8461-1","10.1109/ICCCN61486.2024.10637651","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10637651","Edge;Cloud;ETSI MEC;5G;Orchestration;Kubernetes","Measurement;Multi-access edge computing;5G mobile communication;Computer architecture;Market research;Resource management;Proposals","","","","17","IEEE","22 Aug 2024","","","IEEE","IEEE Conferences"
"A Comprehensive Survey of Wireless Time-Sensitive Networking (TSN): Architecture, Technologies, Applications, and Open Issues","K. Zanbouri; M. Noor-A-Rahim; J. John; C. J. Sreenan; H. V. Poor; D. Pesch","School of Computer Science and IT, University College Cork, Ireland; School of Computer Science and IT, University College Cork, Ireland; Eindhoven University of Technology, Netherlands; School of Computer Science and IT, University College Cork, Ireland; Department of Electrical and Computer Engineering, Princeton University, USA; School of Computer Science and IT, University College Cork, Ireland",IEEE Communications Surveys & Tutorials,"","2024","PP","99","1","1","Time-sensitive networking (TSN) is expected to be a key component of critical machine-type communication networks in areas such as Industry 4.0, robotics and autonomous vehicles. With rising mobility requirements in industrial applications and the prevalence of wireless networks, wireless network integration into TSN is becoming increasingly important. This survey article presents a comprehensive review of the current literature on wireless TSN, including an overview of the architecture of a wireless TSN network and an examination of the various wireless technologies and protocols that can be or are used in such networks. In addition, the article discusses industrial applications of wireless TSN, among them industrial automation, robotics, and autonomous vehicles. The article concludes by summarizing the challenges and open issues related to the integration of TSN into wireless networks, and by offering suggestions for future research directions.","1553-877X","","10.1109/COMST.2024.3486618","Science Foundation Ireland(grant numbers:13/RC/2077 P2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10735349","Wireless TSN;TSN;5G;6G;Wi-Fi 7;IEEE 802.11be;Industrial IoT;Industry 4.0;Industry 5.0;Millimeter-wave;Smart Manufacturing;Smart Factory;Wireless Factory","Wireless sensor networks;Surveys;Standards;Wireless fidelity;Synchronization;Reliability;Protocols;5G mobile communication;Wireless networks;Quality of service","","","","","CCBY","25 Oct 2024","","","IEEE","IEEE Early Access Articles"
